title,genre,director,country,year
Любовью надо дорожить,"молодёжный, мелодрама",Сергей Сплошнов," ,СССР",1959
Крик птицы,мелодрама,Генри Баракат," ,Египет",1959
Лейли и Меджнун,фильм-балет,"Татьяна Березанцева,, ,Гафар Валамат-Заде"," ,СССР",1959
Лётна,"военный фильм, ,драма",Анджей Вайда," ,Польша",1959
Ласарильо из Тормеса,драматический фильм,"Сесар Ардавин,[d]"," ,Испания, ,Италия",1959
Крест храбрых,"военный, ,драма",Казимеж Куц," ,Польша",1959
Кузены,Драма,Клод Шаброль," ,Франция",1959
Командир отряда,"военный, ,драма",Дучо Мундров," ,Болгария",1959
Король Шумавы,"приключения, криминальный фильм, ,драма,, шпионский детектив",Карел Кахиня," ,Чехословакия",1959
Кровавое кимоно,Фильм нуар,Сэмюэл Фуллер," ,США",1959
Катя — некоронованная царица,"драматический фильм,[1]",Роберт Сиодмак,Франция,1959
Ключ,Драма,Кон Итикава," ,Япония",1959
Кафе «Минога»,"военный,, ,комедия",Бронислав Брок," ,Польша",1959
Когда цветут розы,драма,К. Я. Ярматов," ,СССР",1959
Киевлянка,"драма, военный фильм, исторический фильм",Тимофей Левчук," ,СССР",
Кармен из Ронды (Кармен),"музыкальный фильм,мелодрама,драма",Тулио Демичели," ,Испания",1959
Колыбельная,драма,Михаил Калик," ,СССР",1959
Карманник,криминальная драма,Робер Брессон," ,Франция",1959
"Калтики, бессмертный монстр",фильм ужасов,"Риккардо Фреда,Марио Бава"," ,Италия, ,США",1959
Капитан Дабач,"военный, экранизация",Пальо Биелик," ,Чехословакия",1959
Как поссорился Иван Иванович с Иваном Никифоровичем,комедийный фильм,Владимир Карасёв," ,СССР",1959
Кадрящие,Комедия-драма,Жан-Пьер Моки," ,Франция",1959
Кавалеристы,"вестерн,военный,приключенческий",Джон Форд," ,США",1959
К северу через северо-запад,"приключенческо,-,шпионский, ,комедийный, ,триллер",Альфред Хичкок," ,США","17 июля, ,1959,[1],18 декабря, ,1959,[2],17 сентября, ,1959,1 июля, ,1959,[1],6 августа, ,1959,[1],11 сентября, ,1959,[1],1959"
Капо,драма,Джилло Понтекорво," ,Италия, ,Франция, ,Югославия",1959
История золотой рыбки,короткометражный фильм,"Эдмон Сешан,[en]"," ,Франция",1959
История влюблённых в Нанива,мелодрама,Тому Утида," ,Япония",
Индийская гробница,приключенческий фильм,Фриц Ланг," ,ФРГ, , ,Франция, , ,Италия",1959
Индия,документальный,Роберто Росселлини," ,Италия, ,Франция",1959
Инспекция пана Анатоля,криминальная комедия,Ян Рыбковский," ,Польша",1959
Иванна,"военный фильм,драма",Виктор Ивченко," ,СССР",1959
История монахини,драма,Фред Циннеман," ,США",1959
Илзе,,Роланд Калныньш," ,СССР",1959
Исправленному верить,детектив,Виктор Жилин," ,СССР",1959
Имитация жизни,мелодрама,Дуглас Сёрк," ,США",1959
Интимный разговор,романтическая комедия,"Майкл Гордон,.mw-parser-output .ts-fix-template{white-space:nowrap}.mw-parser-output .ts-fix-error{font-size:inherit}@media screen{.mw-parser-output .ts-fix-text{border:1px solid #a2a9b1;box-decoration-break:clone;margin:0 -0.1em;padding:0 0.1em;transition:background 0.1s}.mw-parser-output .ts-fix-text:hover{background:#fee7e6}}@media screen and (hover:hover){.mw-parser-output .ts-fix-comment,.mw-parser-output .ts-fix-commented>a:not(:hover){border-bottom:1px dotted;text-decoration:none}},[,уточнить,]"," ,США","1959,18 декабря, ,1959,[1]"
Злая красная планета,научная фантастика,"Иб Мельхиор,ru,en"," ,США",1959
Зелёный фургон,Приключенческий фильм,Генрих Габай," ,СССР",1959
Золотой дом,,Владимир Басов,СССР,1959
Золотой эшелон,"драма,военный фильм",Илья Гурин," ,СССР",1959
Землеройки-убийцы,"ужасы,, ,фантастика,, ,триллер,, ,приключения",Рэй Келлогг," ,США",1959
Загадочный пассажир,драма,Ежи Кавалерович," ,Польша",1959
Звёзды встречаются в Москве,Документальный,"Василий Катанян,Владимир Бычков"," ,СССР",1959
Зелёные поместья,"романтический фильм,[1],экранизация литературного произведения,[d],драматический фильм","Мел Феррер,[1]"," ,США",1959
Завтрак на траве,кинокомедия,Жан Ренуар," ,Франция","1959,11 ноября, ,1959,[1]"
Заре навстречу,"драма, экранизация, историко-революционный",Татьяна Лукашевич," ,СССР",1959
Жизнь прошла мимо,драма,Владимир Басов," ,СССР",1959
Жестокое лето,драма,Валерио Дзурлини," ,Италия, , ,Франция",1959
Жестокость,криминальная драма,Владимир Скуйбин," ,СССР",1959
Живые герои,киноальманах,"Марионас Гедрис,Балис Браткаускас,Арунас Жебрюнас,Витаутас Жалакявичюс"," ,СССР",1959
Жеребёнок,драма,Владимир Фетин," ,СССР",1959
Друзья-товарищи,"приключения,, ,детский фильм",Валентин Павловский,,1959
Егерь,"новелла, экранизация",Герман Ливанов," ,СССР",1959
Дыра в голове,"комедия,драма",Фрэнк Капра," ,США",1959
Жажда,"драма,,,военный",Евгений Ташков," ,СССР",1959
Душители из Бомбея,"Детектив,Триллер",Теренс Фишер," ,Великобритания",1959
Дорога уходит вдаль,киноповесть,Анатолий Вехотко," ,СССР",1959
Дорога школяров,драма,Мишель Буарон," ,Франция, ,Италия",1959
Дом на холме призраков,фильм ужасов,Уильям Касл," ,США",1959
Доброе утро,"комедия,драма",Ясудзиро Одзу," ,Япония",1959
Двое на Манхэттене,драма,Жан-Пьер Мельвиль," ,Франция",1959
"День последний, день первый",киноповесть,Семён Долидзе," ,СССР",1959
Дерзкий налёт неизвестных злоумышленников,Комедия,Нанни Лой,Италия,1959
Джаз в летний день,концертный фильм,," ,США",1959
Двойной поворот ключа,детектив,Клод Шаброль," ,Франция, , ,Италия",1959
Джон Пол Джонс,биографический,Джон Фэрроу," ,США",1959
Дневник Анны Франк,"драматический фильм,[1],[2],биографический фильм,военный фильм,экранизация литературного произведения,[d],история взросления",Джордж Стивенс," ,США","18 марта, ,1959,18 марта, ,1959,1959"
Девочка ищет отца,"детский фильм,драма,военный фильм",Лев Голуб," ,СССР",1959
Двенадцать девушек и один мужчина,криминальная комедия,Ханс Квест," ,Австрия",1959
Григорий Сковорода,"драма,, ,биографический",Иван Кавалеридзе," ,СССР",1959
Горбун,"боевик,приключенческий фильм",Андре Юнебель," ,Франция, , ,Италия",1959
Головой о стену,драма,Жорж Франжю," ,Франция",1959
Голубой ангел,драма,Эдвард Дмитрык," ,США",1959
"Давай, Джонни, давай!","комедия,, ,мюзикл",Пол Лэндрес," ,США",1959
Генерал Делла Ровере,драма,Роберто Росселлини," ,Италия, ,Франция",1959
Город страха,"Фильм нуар,Полицейский триллер",Ирвинг Лернер," ,США",1959
Гиджет,комедия,Пол Уэндкос," ,США",
"Внезапно, прошлым летом","психологическая ,драма",Джозеф Манкевич," ,США",1959
Всё начинается с дороги,мелодрама,"Николай Досталь, ,Виллен Азаров"," ,СССР",1959
Время остановилось,драма,Эрманно Ольми," ,Италия",1959
Всё самое лучшее,драма,Жан Негулеско," ,США",1959
Ганнибал,"мелодрама,, ,пеплум","Карло Людовико Брагаглиа,Эдгар Г. Улмер"," ,Италия, ,США",1959
Высота Порк Чоп Хилл,военная драма,"Льюис Майлстоун,Грегори Пек"," ,США",1959
Ветер,драма,"Александр Алов,Владимир Наумов"," ,СССР",1959
Тайна зелёного бора,"приключения,, ,семейный",Олег Николаевский," ,СССР",1960
Счастливчик Антони,комедия,"Халина Белиньская,, ,Влодзимеж Хаупе"," ,Польша",1960
Судья,"драма, экранизация",Альф Шёберг," ,Швеция",1960
Сыновья и любовники,драма,Джек Кардифф," ,Великобритания",1960
Тайна,Фильм-драма,Миёдзи Иэки," ,Япония",
Стреляйте в пианиста,фильм-нуар,Франсуа Трюффо," ,Франция",1960
Странная история,"комедия,, ,короткометражный фильм",Шуа Шейхов," ,СССР,/, ,Азербайджанская ССР",1960
Собака на сене,драма,Артур Рамуш,Португалия,1960
Слепой музыкант,драма,," ,СССР",1960
Страсть в пыли,Мелодрама,Уильям Ф. Клэкстон," ,США",1960
Спасите наши души,"киноповесть,, ,приключения,, ,комедия",Алексей Мишурин," ,СССР",1960
Вероника и её лентяй,комедийный фильм,Эрик Ромер," ,Франция",1959
Солдатский блюз,"комедия,, ,мелодрама,, ,мюзикл",Норман Таурог," ,США",1960
Следы,,Яромил Йиреш," ,Чехословакия",1960
В едином строю,драма,"Ефим Дзиган, , Сью Вэй Ган"," ,СССР, ,Китай",1959
Сержант Ратледж,"вестерн,драма",Джон Форд," ,США",1960
Василий Суриков,исторический фильм,Анатолий Рыбаков," ,СССР",1959
Серёжа,"мелодрама,, ,семейный","Георгий Данелия,Игорь Таланкин"," ,СССР",1960
Симаррон,"драма, вестерн",Энтони Манн," ,США",1960
В твоих руках жизнь,"военный фильм,приключенческий фильм,фильм-катастрофа",Николай Розанцев," ,СССР",1959
В степной тиши,драма,Сергей Д. Казаков," ,СССР",1959
Бурлаки на Волге,"приключения,исторический фильм",Виктор Туржанский," ,Италия, ,ФРГ",1959
Бурная ночь,драма,Мауро Болоньини," ,Италия, ,Франция",1959
В джазе только девушки,эксцентрическая комедия,Билли Уайлдер," ,США",1959
Бумажные цветы,"музыкальный фильм, / ,мелодрама",Гуру Датт," ,Индия",1959
Бродяга Архимед,"социальная драма, ,кинокомедия",Жиль Гранжье," ,Франция, , ,Италия",1959
Большая война,"комедия,военная драма",Марио Моничелли," ,Италия",1959
Спартак,пеплум,Стэнли Кубрик," ,США",1960
Бен-Гур,пеплум,Уильям Уайлер," ,США","18 ноября, ,1959,[1],[2]"
Большое ограбление банка в Сент-Луисе,Фильм нуар,"Чарльз Гуггенхейм,Джон Стикс"," ,США",1959
Битва за Коралловое море,"военный,, ,боевик,, ,драма,, ,мелодрама",Пол Уэндкос," ,США",1959
Бенгальский тигр,"приключенческий фильм, ,драма,мелодрама,триллер",Фриц Ланг," ,Германия, ,Италия, ,Франция",1959
Бегство из тени,психологическая драма,Иржи Секвенс," ,Чехословакия",1959
Бегство девчонки,"драма, мелодрама, экранизация",Эдит Карлмар," ,Норвегия",1959
Белые ночи,романтическая драма,Иван Пырьев," ,СССР",1959
Баллада о солдате,"Военный фильм, ,Мелодрама",Григорий Чухрай," ,СССР",1959
Атомная подводная лодка,научная фантастика,Спенсер Гордон Беннет," ,США",1959
Ангел на земле,комедийный фильм,Геза фон Радваньи,"Германия,/,Франция",1959
Бадья крови,"комедия,триллер",Роджер Корман," ,США",1959
Аннушка,драма,Борис Барнет," ,СССР",1959
Бабетта идёт на войну,"комедийный фильм,военный фильм,фарс",Кристиан-Жак," ,Франция",1959
Аморальный мистер Тис,комедия,Расс Мейер," ,США",1959
Сердитая тишина,драматический фильм,Гай Грин," ,Великобритания","1960,19 августа, ,1960,[3]"
Анатомия убийства,юридическая драма,Отто Премингер," ,США",1959
Айна,"драма,, ,исторический","Алты Карлиев,,  Владимир Иванов"," ,СССР",1959
39-я бригада,"исторический фильм, военный, экранизация",Карой Макк," ,Венгрия",1959
01-99,комедия,Амасий Мартиросян," ,СССР",1959
"Бегемот, морской монстр","научная фантастика,триллер, ,ужасы","Эжен Лурье,Дуглас Хикокс"," ,Великобритания, ,США",1959
Семья революционеров,"драма, история",Шуй Хуа," ,Китай",1960
Сезон страстей,"Криминальная, ,драма",Корэёси Курахара," ,Япония",
Северная радуга,"исторический фильм,, ,экранизация,, ,биография",Арташес Ай-Артян," ,СССР",1960
Северная повесть,"драма,исторический фильм",Евгений Андриканис," ,СССР",1960
Сатана из седьмого класса,Приключения,Мария Каневская," ,Польша",1960
Рыжик,драма,Илья Фрэз," ,СССР",1960
Аль Капоне,"гангстерский фильм,фильм-биография",Ричард Уилсон," ,США",1959
Адам хочет быть человеком,драма,Витаутас Жалакявичюс," ,СССР",1959
Самолёт уходит в 9,"киноповесть, мелодрама",Юрий Лысенко,,1960
Пять патронных гильз,"военный фильм, драма",Франк Байер," ,ГДР",1960
Русский сувенир,комедия,Григорий Александров," ,СССР",1960
Роман и Франческа,"мелодрама,, ,военный фильм",Владимир Денисенко," ,СССР",1960
Пять опозоренных женщин,"драматический фильм,военный фильм",Мартин Ритт," ,США, ,Италия",1960
Рокко и его братья,драма,Лукино Висконти," ,Италия, , ,Франция",1960
Рождённые жить,драма,Лаэрт Вагаршян," ,СССР",
Пять дней — пять ночей,Военный фильм,Лео Арнштам," ,СССР, ,ГДР",1960
Психо,психологический хоррор,Альфред Хичкок," ,США",1960
"Прощайте, голуби",мелодрама,Яков Сегель," ,СССР",1960
Пылающая звезда,"драма,, ,вестерн","Дон Сигел,Майкл Ди. Мур"," ,США",
Прыжок на заре,киноповесть,Иван Лукинский," ,СССР",1960
Простая история,мелодрама,Юрий Егоров," ,СССР",1960
Приключения учительницы,комедия,Аарне Таркас," ,Финляндия",1960
Приключение,драма,Микеланджело Антониони," ,Италия, ,Франция",1960
Привидения в замке Шпессарт,"кинокомедия,мюзикл",Курт Хофман," ,ФРГ",1960
Пригородные поезда,комедия,Жан Бастия," ,Франция",1960
Преступление,"комедийный фильм,[1],криминальный фильм","Марио Камерини,[1]"," ,Италия",1960
Прерванная песня ,"военный, мелодрама",Николай Санишвили," ,СССР,,, , ,Чехословакия",1960
Предварительные выборы,"документальный фильм,[1],[2]","Роберт Дрю,[2]"," ,США",1960
Потопить «Бисмарк»,военный фильм,Льюис Гилберт," ,Великобритания",1960
Последняя женщина на Земле,"фантастика,, ,постапокалиптика,, ,фильм ужасов",Роджер Корман," ,США",1960
Последние залпы,"киноповесть, военный, драма, экранизация",Леон Сааков," ,СССР",1960
Порода Бульдог,комедийный фильм,"Роберт Эшер,[d],[1]"," ,Великобритания",1960
Пойманный монах,"комедия, экранизация, музыкальный фильм",Григорий Никулин," ,СССР",1960
Подростки,"мелодрама,[d]","Ахмад Дыя эд-Дин,[d]"," ,Египет",1960
Поздняя осень,драма,Ясудзиро Одзу," ,Япония",1960
Повесть пламенных лет,"драма,военный фильм",Юлия Солнцева," ,СССР",1960
Повесть об одной девушке,"киноповесть, драма",Михаил Чиаурели," ,СССР",1960
Пленительная тень,"мелодрама,, мистика",Ли Ханьсян," ,Гонконг",1960
Плохие спят спокойно,драма,Акира Куросава," ,Япония",1960
Пожнёшь бурю,драма,Стэнли Крамер," ,США",1960
Первое свидание,мелодрама,Искра Бабич," ,СССР",1960
Пиковый валет,комедия,Тадеуш Хмелевский," ,Польша",1960
Пират Морган,приключенческий фильм,"Андре Де Тот,Примо Дзелио"," ,Италия, , ,Франция",1960
Переход через Рейн,"романтический фильм,драматический фильм","Андре Кайат,[1],[2]"," ,Франция, ,Германия, ,Италия","1960,4 ноября, ,1960"
Пиковая дама,"кинофильм,-,опера,драма",Роман Тихомиров," ,СССР",1960
Парни музкоманды,комедия,"Генрих Малян,Генрих Маркарян"," ,СССР",1960
Переславль-Залесский,"научно-просветительский, и ,документальный",," ,СССР",1960
Падение дома Ашеров,фильм ужасов,Роджер Корман," ,США",1960
"Осторожно, бабушка!",комедия,Надежда Кошеверова," ,СССР",1960
Операция «Кобра»,"детективный фильм, ,приключенческий фильм",Дмитрий Васильев," ,СССР, ,Таджикская ССР",1960
Они!,"Фантастика,фильм ужасов",Гордон Дуглас," ,США","1954,15 июня, ,1954,[1],16 июня, ,1954,[1],19 июня, ,1954,[1],15 сентября, ,1960,[1]"
Око дьявола,"комедия, ,драма",Ингмар Бергман," ,Швеция",1960
Нескончаемая песня,"драма, ,мюзикл, ,биография","Чарльз Видор,Джордж Кьюкор"," ,США",1960
Об этом говорит вся махалля,комедия,Шухрат Аббасов," ,СССР",1960
Ночь и туман в Японии,драма,Нагиса Осима," ,Япония",1960
Одиннадцать друзей Оушена,"гангстерский фильм,,,комедия",Льюис Майлстоун," ,США",1960
Ночной поток,"драма,, ,мелодрама","Микио Нарусэ,, ,Юдзо Кавасима"," ,Япония",
Невинные дикари,Приключенческий фильм,Николас Рэй," ,Италия, ,Великобритания, ,Франция",1960
Невинные чародеи,"музыкальный фильм,романтический фильм,драматический фильм",Анджей Вайда," ,Польша",1960
Наследники,,Тимофей Левчук," ,СССР",1960
Непрощённая,"вестерн, ,драма",Джон Хьюстон," ,США",1960
Неотправленное письмо,драма,Михаил Калатозов," ,СССР",1960
Музыкальный автомат кричит о любви,"комедия,, ,мюзикл",Мауро Морасси," ,Италия",1960
Невесты Дракулы,Ужасы,Теренс Фишер," ,Великобритания",1960
Муж своей жены,комедия,Станислав Барея," ,Польша",1960
На последнем дыхании,драма,Жан-Люк Годар," ,Франция",1960
На ярком солнце,"триллер,драма",Рене Клеман," ,Франция, , ,Италия",1960
Милашки,"Драма,, ,Французская новая волна",Клод Шаброль," Франция, , Италия",
Моё последнее танго,"музыкальный фильм,мелодрама",Луис Сесар Амадори," ,Испания, ,Аргентина",1960
Мичман Панин,приключенческий фильм,Михаил Швейцер," ,СССР",1960
Мёртвые души,драма,Леонид Трауберг," ,СССР",1960
Маска Сатаны,ужасы,Марио Бава," ,Италия",1960
Мельница каменных женщин,фильм ужасов,Джорджо Феррони," ,Франция, ,Италия",1960
Миллионерша,"романтическая, ,комедия",Энтони Асквит," ,Великобритания",1960
Маттео Фальконе,"короткометражный,, ,драма",Тофик Тагизаде," ,СССР",
Маленький солдат,драма,Жан-Люк Годар," ,Франция",1960
"Люблю тебя, жизнь!",мелодрама,Михаил Ершов," ,СССР",
Машина времени,"фантастика,, ,приключения",Джордж Пал," ,США","1960,25 мая, ,1960,[2],17 августа, ,1960,[2],25 августа, ,1960,[2],2 сентября, ,1960,[2]"
Любовь в Риме,"драма,, ,мелодрама,, экранизация",Дино Ризи," ,Италия, ,Франция, ,ФРГ",
Магазинчик ужасов,"комедия,, ,ужасы",Роджер Корман," ,США",1960
Кровь людская — не водица,,"Макаренко, Николай Константинович"," ,СССР",1960
Лига джентльменов,"приключенческий фильм,комедия,криминальный фильм,драма",Бэзил Дирден," ,Великобритания",1960
Леон Гаррос ищет друга,"драма, ,роуд-муви",Марчелло Пальеро," ,Франция, ,СССР",1960
Крикуны перед судом,"комедия,мюзикл,драма",Лучо Фульчи," ,Италия",1960
Кроткая,"драма,, ,экранизация",Александр Борисов," ,СССР",1960
Крестоносцы,приключенческий фильм,Александр Форд," ,Польша",1960
Летающий корабль,фильм-сказка,"Михаил Юферов,Артур Войтецкий"," ,СССР",1960
Красавчик Антонио,"драматический фильм,экранизация литературного произведения,[d]",Мауро Болоньини," ,Франция, ,Италия",1960
Косоглазое счастье,комедия,Анджей Мунк," ,Польша",1960
Конец старой Берёзовки,киноповесть,Виктор Эйсымонт," ,СССР",1960
Крепость на колёсах,"военный,, ,Драма",Олег Ленциус," ,СССР",1960
Комедиант,драма,Тони Ричардсон," ,Великобритания",1960
Кладбище солнца,драма,Нагиса Осима," ,Япония",1960
Когда женщина поднимается по лестнице,фильм-драма,Микио Нарусэ," ,Япония",
Кёр-оглы,драма,Гусейн Сеидзаде," ,СССР",1960
Квартира,трагикомедия,Билли Уайлдер," ,США",1960
Капитан Леши,"военный,, ,драма,, ,вестерн",Зика Митрович," ,Югославия",1960
Карфаген в огне,"историческая ,драма,боевик,приключенческий фильм,мелодрама,пеплум",Кармине Галлоне," ,Италия, ,Франция",1960
«Каток и скрипка»,мелодрама,Андрей Тарковский," ,СССР",1960
История жестокой юности,драма,Нагиса Осима," ,Япония",1960
Канкан,"музыкальный фильм,[1],[2]","Уолтер Лэнг,[2]"," ,США",1960
Испытательный срок,киноповесть,Владимир Герасимов," ,СССР",1960
Из Лебяжьего сообщают,"социальная ,драма",Василий Шукшин," ,СССР",1960
Истина,драма,Анри-Жорж Клузо," ,Франция, ,Италия",1960
Из породы беглецов,драма,Сидни Люмет," ,США",1960
"Кандид, или Оптимизм в XX веке",комедия,Норбер Карбонно," ,Франция",1960
Капитан,"экранизация,приключенческий фильм,фильм плаща и шпаги,боевик",Андре Юнебель," ,Франция, , ,Италия",1960
Заповедь женщины,фильм-драма,"Ясудзо Масумура,, ,Кон Итикава,, ,Кодзабуро Ёсимура"," ,Япония",
Затерянный мир,Фантастика,Ирвин Аллен," ,США",1960
Звезда за тёмной тучей,"драма, ,музыкальный фильм",Ритвик Гхатак," ,Индия",1960
Займёмся любовью,музыкальная комедия,Джордж Кьюкор," ,США",1960
За пределами временного барьера,Научно-фантастический фильм,Эдгар Г. Ульмер," ,США",1960
Завещание Орфея,"фильм-биография,драма,фэнтези",Жан Кокто," ,Франция",1960
Запах тайны,фильм-тайна,Джек Кардифф," ,США",1960
Зази в метро,комедия,Луи Маль,,1960
Исход,военная драма,Отто Премингер," ,США",1960
Жиних,комедия,Элем Климов," ,СССР",1960
Жил-был мошенник,комедийный фильм,"Стюарт Бёрдж,[1]"," ,Великобритания",1960
Ждите писем,киноповесть,Юлий Карасик," ,СССР",1960
Дом с мезонином,Мелодрама,Яков Базелян," ,СССР",1960
Евгения Гранде,драма,Сергей Алексеев," ,СССР",1960
"До свидания, до завтра",мелодрама,Януш Моргенштерн," ,Польша",
Дикая река,драма,Элиа Казан," ,США",1960
Дикая гонка,"криминал,, ,драма",Харви Берман," ,США",1960
Дыра,"драма,триллер",Жак Беккер," ,Франция, ,Италия",1960
Жил-был мальчик,"новелла, экранизация",Эмиль Лотяну," ,СССР",1960
До будущей весны,"киноповесть,, ,мелодрама",Виктор Соколов," ,СССР",1960
Девятый круг,драма,Франце Штиглиц," ,Югославия",1960
"День, когда ограбили английский банк",драма,Джон Гиллермин," ,Великобритания",1960
Деревня проклятых,"триллер,ужасы,фантастика",Вольф Рилла," ,Великобритания",1960
Демон,фильм-опера,Виталий Головин," ,СССР",1960
Дело Набоба,"криминальная, ,кинокомедия",Ральф Хабиб," ,Франция, , ,ФРГ",1960
Девушка Тянь-Шаня,драма,Алексей Очкин ," ,СССР",1960
Девичья весна,"комедия, ,музыкальный фильм","Вениамин Дорман, ,Генрих Оганесян"," ,СССР",1960
Девичий источник,драма,Ингмар Бергман," ,Швеция",1960
Девушка,драма,Луис Бунюэль," ,Мексика, ,США",1960
Двенадцать на Луне,фантастика,"Дэвид Брэдли,.mw-parser-output .ts-fix-template{white-space:nowrap}.mw-parser-output .ts-fix-error{font-size:inherit}@media screen{.mw-parser-output .ts-fix-text{border:1px solid #a2a9b1;box-decoration-break:clone;margin:0 -0.1em;padding:0 0.1em;transition:background 0.1s}.mw-parser-output .ts-fix-text:hover{background:#fee7e6}}@media screen and (hover:hover){.mw-parser-output .ts-fix-comment,.mw-parser-output .ts-fix-commented>a:not(:hover){border-bottom:1px dotted;text-decoration:none}},[,уточнить,]"," ,США",1960
Дальний рейс,фильм-драма,Хидэо Сэкигава," ,Япония",
Город мёртвых,фильм ужасов,"Джон Мокси,[en]"," ,Великобритания",1960
Дама с собачкой,Мелодрама,Иосиф Хейфиц," ,СССР",1960
Два лица доктора Джекила,Ужасы,Теренс Фишер," ,Великобритания",1960
Грозные ночи,военный,"Александр Курочкин,,,Владимир Довгань"," ,СССР",1960
Голый остров,драма,Канэто Синдо,Япония,1960
Глаза без лица,"фильм ужасов,[2],[3],драматический фильм",Жорж Франжю," ,Франция, ,Италия",1960
Горничная,"криминальная драма,триллер",Ким Ки Ён," ,Республика Корея",1960
Давид и Голиаф,драма,"Фердинандо Бальди,Ришар Потье"," ,Италия",1960
Всегда в пути твоё лицо,"драма, военный",Ахим Хюбнер," ,ГДР",1960
Все по домам,"военная, ,драма,комедия",Луиджи Коменчини," ,Италия, ,Франция",1960
Голоса нашего квартала,драма,Юрий Ерзинкян," ,СССР",1960
Время летних отпусков,"мелодрама,, ,экранизация,, ,производственный фильм",Константин Воинов," ,СССР",1960
Восход солнца в Кампобелло,"исторический фильм,драма",Винсент Донехью," ,США",1960
«Впереди — крутой поворот»,драма,Ричард Викторов," ,СССР",1960
Возлюбленная вампира,фильм ужасов,Ренато Польселли," ,Италия",1960
Великий Могол,"драма, / ,мелодрама, / ,военный фильм","К. Асиф, , ,(англ.), (,рус."," ,Индия",1960
Венецианский мавр,фильм-балет,Вахтанг Чабукиани," ,СССР",1960
Весенние грозы,Киноповесть,Николай Фигуровский," ,СССР",1960
Воскресение,"психологическая ,драма,, нуар",Михаил Швейцер," ,СССР",1960
Взвесь весь риск,"детектив,, ,драма,, ,мелодрама",Клод Соте," ,Франция",1960
"В субботу вечером, в воскресенье утром","социальная драма,мелодрама",Карел Рейш," ,Великобритания",1960
Великолепная семёрка,вестерн,Джон Стёрджес," ,США",1960
Вдали от Родины,"драма,военный фильм",Алексей Швачко," ,СССР",1960
Великий диктатор,,Чарли Чаплин," ,США","15 октября, ,1940,[1],[2],19 ноября, ,1945,[3],26 августа, ,1958,[4],22 октября, ,1960,[5]"
В Риме была ночь,драма,Роберто Росселлини," ,Италия, ,Франция",1960
В дождь и в солнце,"драма, мелодрама, социальная драма",Герберт Раппапорт," ,СССР",1960
"В воде, в которой пузыри",комедия,Морис Дельбез," ,Франция",1960
Бродячая принцесса,драма,Кинуё Танака," ,Япония",
Борьба без оружия,социальная драма,Сацуо Ямамото," ,Япония",
Большая история,"романтическая комедия,сатира",Джошуа Логан," ,США",1960
Бродяги,"драма,, ,вестерн",Фред Циннеман," ,США, ,Великобритания, ,Австралия",
Белая пряжка,"драма,, ,детектив",Мартин Фрич," ,Чехословакия",1960
Бессонная ночь,"социальная ,драма",Исидор Анненский," ,СССР",1960
Богиня,драма,Сатьяджит Рай," ,Индия",1960
Арнульф Райнер,экспериментальное кино,Петер Кубелка," ,Австрия",1960
Балтийское небо,"военный фильм,драма",Владимир Венгеров," ,СССР",1960
"Баттерфилд, 8",драма,Дэниэл Манн," ,США",1960
Аустерлиц,"драма,исторический фильм",Абель Ганс," ,Франция, ,Югославия, ,Италия, ,Лихтенштейн",1960
Безмолвная звезда,научно-фантастический,Курт Метциг," ,ГДР, ,Польша",1960
Алёшкина любовь,Мелодрама,"Семён Туманов,, , ,Георгий Щукин"," ,СССР",1960
Аргонавты: В поисках золотого руна,"пеплум,фэнтезийный фильм",Риккардо Фреда," ,Франция, ,Италия",1960
Анафема,"драма, экранизация",Сергей Гиппиус,,1960
Ангел в красном,драма,Наннэлли Джонсон," ,США, ,Италия",1960
Актер Йоллер,драма,Вирве Аруоя," ,СССР",1960
Сокровища Каменного леса,приключенческий фильм,Эмиммо Сальви," ,Италия",1965
Айгюн,мелодрама,Кямиль Рустамбеков," ,СССР,/, ,Азербайджанская ССР",1960
13 призраков,фильм ужасов,Уильям Касл," ,США",1960
Солдатские девки,драма,Валерио Дзурлини," ,Италия, , ,Франция, , ,ФРГ, ,Югославия",1965
Симеон-пустынник,притча,Луис Бунюэль," ,Мексика",1965
Слуги Шекспира,"драма,, ,мелодрама",Джеймс Айвори," ,США, ,Индия",1965
Слалом,"комедия,, ,приключения",Лучиано Сальче," ,Италия",
Сквозь ледяную мглу,"историко-,биографический фильм","Аркадий Кольцатый,,, , Лев Рудник"," ,СССР",1965
Сноровка... и как её приобрести,комедия,Ричард Лестер," ,Великобритания",1965
Сегодня — премьера,Документальный фильм,"Семен Аранович,, ,Майя Меркель"," ,СССР",1965
Сердце матери,исторический фильм,Марк Донской," ,СССР",1965
Сергей Есенин,"документальный,биографический","Павел Русанов,Борис Карпов"," ,СССР",1965
Решающий шаг,революционно-романтический,Алты Карлиев," ,СССР",1965
"Сегодня, завтра, послезавтра",комедия,"Эдуардо Де Филиппо,Лучано Салче,Марко Феррери"," ,Италия, , ,Франция",1965
Святоша,комедия,Сатьяджит Рай," ,Индия",1965
Родившийся в грозу Наташа-ханум,"драма, исторический, биографический фильм",Латиф Файзиев," ,СССР",1965
Ранняя пташка,комедия,Роберт Эшер," ,Великобритания",1965
Самая послушная,"драма, экранизация","Леонид Гуревич,, ,Бекеш Абдылдаев"," ,СССР",1965
Разиня,комедия,Жерар Ури," ,Франция, , ,Италия",1965
